Keys,en,en_CA,ar,cmn,cs,de,es,fi,fr,hi,it,ja,ko,pl,pt,ru,uk
ACTIVE,Active,Active eh?,نشيط,积极的,Aktivní,Aktiv,Activo,Aktiivinen,Actif,सक्रिय,Attivo,アクティブ,활동적인,Aktywny,Ativo,Активный,Активний
AIR,Air,Air eh?,هواء,空气,Vzduch,Luft,Aire,Ilma,Air,वायु,Aria,空気,공기,Powietrze,Ar,Воздух,Повітря
ALERT,Alert,Alert eh?,يُحذًِر,警报,Upozornění,Alarm,Alerta,Hälytys,Alerte,चेतावनी,Mettere in guardia,アラート,알리다,Alarm,Alerta,Тревога,Насторожений
AQUAPONICS,Aquaponics,Aquaponics eh?,أكوابونيك,水培技术,Aquaponics,Aquaponik,Acuaponia,Vesipoliisi,Aquaponique,aquaponics,Acquaponica,アクアポニックス,아쿠아 닉,Aquaponics,Aquaponics,Аквапоника,Аквапоніка
ATTRIBUTIONS,Attributions,Attributions eh?,الصفات,归因,Atributy,Zuschreibungen,Atribuciones,Määrittelyt,Attributions,विशेषताएं,Attribuzioni,帰属,속성,Przypisania,Atribuições,Атрибуты,Атрибути
AUDIO,Audio,Audio eh?,صوتي,声音的,Zvuk,Audio,Audio,Audio,l'audio,ऑडियो,Audio,オーディオ,오디오,Audio,Áudio,Аудио,Аудіо
AUTHOR,Cyber Puffin,Cyber Puffin eh?,Cyber Puffin,Cyber Puffin,Cyber Puffin,Cyber Puffin,Cyber Puffin,Cyber Puffin,Cyber Puffin,Cyber Puffin,Cyber Puffin,Cyber Puffin,Cyber Puffin,Cyber Puffin,Cyber Puffin,Cyber Puffin,Cyber Puffin
AVAILABLE,Available,Available eh?,متاح,可用的,Dostupný,Verfügbar,Disponible,Saatavilla,Disponible,उपलब्ध,Disponibile,利用可能,사용 가능,Dostępny,Disponível,Доступный,Доступний
BATTERIES,Batteries,Batteries eh?,البطاريات,电池,Baterie,Batterien,Baterías,Paristot,Batteries,बैटरियों,Batterie,バッテリー,배터리,Baterie,Baterias,Батареи,Батареї
BOTS,Bots,Bots eh?,روبوتات,机器人,Roboti,Bots,Bots,Robotti,Bots,बॉट,Robot,ボット,봇,Boty,Bots,Боты,Боти
BYERED,So long Red,So long Red eh?,أحمر طويل جدا,这么长的红色,Tak dlouhá červená,So lange rot,Tan largo rojo,Niin pitkä punainen,Si long rouge,इतना लंबा लाल,Così lungo rosso,とても長い赤,너무 긴 빨간색,Tak długi czerwony,Longo vermelho,Так долго красный,Так довго червоний
CANCEL,Cancel,Cancel eh?,يلغي,取消,zrušení,Stornieren,Cancelar,Peruuttaa,Annuler,रद्द करना,Annulla,キャンセル,취소,Anulować,Cancelar,Отмена,Скасувати
CARGOSPACE,Cargo Space,Cargo Space eh?,مساحة البضائع,货物空间,Nákladní prostor,Laderaum,Espacio de carga,Lastitila,Espace de chargement,कार्गो स्थान,Spazio di carico,貨物スペース,화물 공간,Przestrzeń ładunkowa,Espaço de carga,Грузовое пространство,Вантажний простір
